Unit #,Type,Capacity
AOK 45123,Ore Car,2430
ATW 341011,Ore Car,1470
ATW 341024,Ore Car,1578
ATW 341051,Ore Car,1578
ATW 341055,Ore Car,1578
ATW 341072,Ore Car,1578
ATW 341073,Ore Car,1578
ATW 341079,Ore Car,1578
ATW 341084,Ore Car,1578
ATW 341095,Ore Car,1578
ATW 341104,Ore Car,1578
ATW 341114,Ore Car,1578
ATW 341124,Ore Car,1578
ATW 341143,Ore Car,1578
BN 98003,Ore Car,1600
BN 98005,Ore Car,1600
BN 98011,Ore Car,1600
BN 98016,Ore Car,1600
BN 98017,Ore Car,1600
BN 98018,Ore Car,1600
BN 98022,Ore Car,1600
BN 98026,Ore Car,1600
BN 98037,Ore Car,1600
BN 98042,Ore Car,1600
BN 98048,Ore Car,1600
BN 98049,Ore Car,1600
BN 98052,Ore Car,1600
BN 98055,Ore Car,1600
BN 98074,Ore Car,
BN 98077,Ore Car,1600
BN 98078,Ore Car,1600
BN 98079,Ore Car,1600
BN 98080,Ore Car,1600
BN 98082,Ore Car,1600
BN 98086,Ore Car,1600
BN 98088,Ore Car,1600
BN 98090,Ore Car,1600
BN 98094,Ore Car,1600
BN 98140,Ore Car,1800
BN 98181,Ore Car,1800
BN 99052,Ore Car,1600
BN 99061,Ore Car,1600
BN 99084,Ore Car,1600
BN 99087,Ore Car,1600
BN 99094,Ore Car,1600
BN 99115,Ore Car,1600
BN 99127,Ore Car,1600
BN 99144,Ore Car,1600
BN 99168,Ore Car,1600
BN 99169,Ore Car,1600
BN 99197,Ore Car,1600
BN 99204,Ore Car,1600
BN 99212,Ore Car,1600
BN 99221,Ore Car,1600
BN 99237,Ore Car,1600
BN 99245,Ore Car,1600
BN 99247,Ore Car,1600
BN 99255,Ore Car,1600
BN 99276,Ore Car,1600
BN 99278,Ore Car,1600
BN 99322,Ore Car,1600
BN 99327,Ore Car,1600
BN 99328,Ore Car,1600
BN 99333,Ore Car,1600
BN 99334,Ore Car,1600
BN 99349,Ore Car,1600
BN 99365,Ore Car,1600
BN 99377,Ore Car,1600
BN 99383,Ore Car,1600
BN 99384,Ore Car,1600
BN 99398,Ore Car,1600
BN 99400,Ore Car,1600
BN 99401,Ore Car,1600
BN 99406,Ore Car,1600
BN 99417,Ore Car,1600
BN 99420,Ore Car,1600
BN 99421,Ore Car,
BN 99426,Ore Car,1600
BN 99430,Ore Car,1600
BN 99439,Ore Car,1600
BN 99440,Ore Car,1600
BN 99444,Ore Car,1600
