Unit #,Type,AAR Type,AAR Class,Owner Class,Plate,Dry Cap
GTW 86005,Ballast Hopper,M110,MWB,,,
GTW 86007,Ballast Hopper,M110,MWB,,,
GTW 86010,Ballast Hopper,M110,MWB,,,
GTW 86012,Ballast Hopper,M110,MWB,,B,2604
GTW 86015,Ballast Hopper,M110,MWB,,B,2604
GTW 86017,Ballast Hopper,M110,MWB,,,
GTW 86023,Ballast Hopper,M110,MWB,,,
GTW 86026,Ballast Hopper,M110,MWB,,,
GTW 86027,Ballast Hopper,M110,MWB,,,
GTW 86029,Ballast Hopper,M110,MWB,,B,2604
GTW 86033,Ballast Hopper,M110,MWB,,,
GTW 86034,Ballast Hopper,M110,MWB,,,
GTW 86036,Ballast Hopper,M110,MWB,,B,2604
GTW 86037,Ballast Hopper,M110,MWB,,,
GTW 86044,Autorack,,,,,
GTW 86051,Ballast Hopper,M110,MWB,,B,2604
GTW 86058,Ballast Hopper,M110,MWB,,B,2604
